t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	9644	432	4.5	36	ok
2.0	9644	292	3.0	24	ok
4.0	11916	246	2.1	17	ok
6.0	11916	242	2.0	16	ok
8.0	11916	246	2.1	17	ok
10.0	11916	248	2.1	17	ok
12.0	11916	248	2.1	17	ok
14.0	11916	245	2.1	16	ok
16.0	11916	251	2.1	17	ok
18.0	11916	253	2.1	17	ok
20.0	11916	253	2.1	17	ok
22.0	12161	253	2.1	17	ok
24.0	12406	254	2.1	16	ok
26.0	12406	256	2.1	17	ok
28.0	13148	258	2.0	16	ok
30.0	13148	260	2.0	16	ok
32.0	12406	260	2.1	17	ok
34.0	12406	262	2.1	17	ok
36.0					no_focal
38.0					no_focal
40.0					no_focal
42.0					no_focal
44.0					no_focal
46.0					no_focal
48.0					no_focal
50.0					no_focal
52.0					no_focal
54.0	2557	244	9.5	76	ok
56.0	5137	1452	28.3	226	ok
58.0	5157	1406	27.3	218	ok
60.0	5157	1219	23.6	189	ok
62.0	6437	576	9.0	72	ok
64.0	7717	568	7.4	59	ok
66.0	7809	480	6.1	49	ok
68.0	7809	152	1.9	16	ok
70.0	7902	157	2.0	16	ok
72.0	7902	159	2.0	16	ok
74.0	7809	168	2.2	17	ok
76.0	7717	166	2.1	17	ok
78.0	7717	171	2.2	18	ok
80.0	6437	171	2.7	21	ok
82.0	5157	172	3.3	27	ok
84.0	5157	174	3.4	27	ok
86.0	4428	178	4.0	32	ok
88.0	4428	180	4.1	32	ok
90.0	3700	182	4.9	39	ok
92.0	3546	182	5.1	41	ok
94.0	3391	185	5.4	44	ok
96.0	3275	208	6.4	51	ok
98.0	3160	215	6.8	55	ok
100.0	3160	202	6.4	51	ok
102.0	3142	196	6.2	50	ok
104.0	3072	186	6.1	49	ok
106.0	3030	185	6.1	49	ok
108.0	3020	195	6.5	52	ok
110.0	2887	263	9.1	73	ok
112.0	2887	302	10.5	84	ok
114.0	3020	318	10.5	84	ok
116.0	3030	318	10.5	84	ok
118.0	3040	318	10.5	84	ok
120.0	3030	318	10.5	84	ok
122.0	3020	318	10.5	84	ok
124.0	3030	243	8.0	64	ok
126.0	2953	276	9.4	75	ok
128.0	2887	287	9.9	80	ok
130.0	2709	327	12.1	97	ok
132.0	2864	331	11.5	92	ok
134.0	2709	326	12.0	96	ok
136.0	2679	326	12.2	97	ok
138.0	2649	326	12.3	99	ok
140.0	2649	326	12.3	99	ok
142.0	2679	350	13.1	104	ok
144.0	2649	348	13.1	105	ok
146.0	2596	241	9.3	74	ok
148.0	2649	241	9.1	73	ok
150.0	2679	244	9.1	73	ok
152.0	2679	244	9.1	73	ok
154.0	2649	335	12.6	101	ok
156.0	2649	165	6.2	50	ok
158.0	2649	136	5.1	41	ok
160.0	2649	132	5.0	40	ok
