video	width	n	n_ests	no_focal	sky	gsd_med_cm	gsd_p90_cm	obj8_med_cm	ryukzak	kurtka	kryshka
DJI_20260811153236_0001_Z.MP4	1920	84	37	0.000	0.000	3.910	12.325	31.281	0.893	0.821	0.167
DJI_20260811153833_0002_Z.MP4	1920	69	23	0.188	0.029	9.035	11.426	72.279	0.710	0.174	0.000
DJI_20260811154053_0003_Z.MP4	1920	87	43	0.069	0.000	4.257	11.019	34.059	0.885	0.713	0.000
DJI_20260811160637_0001_Z.MP4	1920	81	37	0.111	0.000	6.132	12.299	49.054	0.815	0.543	0.210
DJI_20260811160922_0002_Z.MP4	1920	44	14	0.341	0.000	1.867	2.199	14.937	0.659	0.659	0.523
DJI_20260811161324_0003_Z.MP4	1920	107	21	0.271	0.121	0.244	4.371	1.952	0.607	0.551	0.542
DJI_20260811202212_0001_Z.MP4	1920	124	40	0.056	0.282	1.561	3.702	12.489	0.661	0.661	0.395
DJI_20260811202621_0002_Z.MP4	1920	87	20	0.207	0.782	25.982	25.982	207.859	0.000	0.000	0.000
DJI_20260811204542_0001_Z.MP4	1920	142	13	0.796	0.204						
DJI_20260811205029_0002_Z.MP4	1920	42	7	0.548	0.000	5.556	25.253	44.447	0.286	0.286	0.000
DJI_20260812133237_0005_Z.MP4	1920	9	2	1.000	0.000						
DJI_20260812133415_0006_Z.MP4	1920	28	13	0.000	0.643	6.860	9.035	54.879	0.357	0.250	0.000
DJI_20260812133553_0007_Z.MP4	1920	40	11	0.000	0.200	1.090	3.215	8.721	0.800	0.775	0.500
DJI_20260812133836_0008_Z.MP4	1920	127	42	0.213	0.000	0.842	1.847	6.736	0.787	0.787	0.764
DJI_20260812135426_0001_Z.MP4	1920	77	28	0.000	0.000	1.087	2.782	8.695	1.000	1.000	0.740
DJI_20260812135747_0002_Z.MP4	1920	70	38	0.043	0.000	0.269	0.438	2.150	0.957	0.957	0.957
DJI_20260812140054_0003_Z.MP4	1920	25	16	0.000	0.000	1.070	2.305	8.558	1.000	1.000	0.840
DJI_20260812140210_0004_Z.MP4	1920	45	16	0.067	0.000	0.574	0.667	4.594	0.933	0.933	0.933
DJI_20260812141803_0001_Z.MP4	1920	118	8	0.814	0.000	1.175	2.090	9.399	0.186	0.186	0.169
DJI_20260812143557_0001_Z.MP4	1920	256	86	0.121	0.469	0.381	189.397	3.047	0.348	0.336	0.336
DJI_20260812221415_0001_Z.MP4	1920	25	4	0.560	0.000	0.297	0.305	2.376	0.440	0.440	0.440
DJI_20260812221521_0002_Z.MP4	1920	58	19	0.034	0.138	23.758	65.917	190.063	0.000	0.000	0.000
