ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	кадр	блоб	bbox	площадь	rgb	score
1	1	0.057	палка-древко-контроль	0.0	1.6	снег-в-тени	1.358	40.0	-8.0	-15.0	17.0	bbox	DJI_20260813183028_0002_Z.JPG	333	1734,792,3,2	6	60,99,118	22.7
2	2	0.132	палка-древко-контроль	1.0	1.1	снег-в-тени	1.437	42.7	-9.0	-15.0	17.5	маска	DJI_20260813183028_0002_Z.JPG	12	1603,967,26,35	301	73,101,116	1266.8
3	1	0.144	палка-древко-контроль	1.1	0.9	снег-в-тени	1.400	42.5	-9.0	-14.5	17.1	маска	DJI_20260813183140_0012_Z.JPG	235	2681,993,4,3	9	64,103,122	32.2
4	3	0.169	крышка-контроль	1.0	3.2	порода-в-тени	2.733	39.2	-22.0	-8.0	23.4	маска	DJI_20260813183028_0002_Z.JPG	302	1805,2053,4,2	8	21,103,106	29.9
5	4	0.177	крышка-контроль	1.4	0.3	снег-в-тени	2.631	42.7	-21.0	-8.0	22.5	маска	DJI_20260813183028_0002_Z.JPG	0	1717,2028,212,132	9447	43,74,76	39680.0
6	2	0.179	палка-древко-контроль	1.4	0.8	снег-в-тени	1.526	40.8	-9.0	-16.0	18.4	маска	DJI_20260813183140_0012_Z.JPG	183	2639,1009,8,2	16	57,101,122	59.7
7	5	0.185	палка-древко-контроль	1.4	1.5	снег-в-тени	1.362	43.1	-9.0	-14.0	16.6	маска	DJI_20260813183028_0002_Z.JPG	3	1546,1004,58,84	855	87,102,110	3644.5
8	6	0.187	палка-древко-контроль	1.4	1.7	снег-в-тени	1.361	43.3	-9.0	-14.0	16.6	маска	DJI_20260813183028_0002_Z.JPG	13	1672,846,32,43	298	87,111,124	1208.1
9	3	0.189	палка-древко-бирюзовое	1.0	4.0	снег-в-тени	2.208	56.5	-15.0	-17.0	22.7	маска	DJI_20260813183140_0012_Z.JPG	231	2409,1071,5,2	10	77,143,162	34.2
10	4	0.202	палка-древко-бирюзовое	1.1	4.1	снег-в-тени	2.241	48.4	-15.5	-17.0	23.0	bbox	DJI_20260813183140_0012_Z.JPG	283	1455,1508,2,3	6	54,123,141	20.9
11	5	0.211	палка-древко-бирюзовое	1.0	4.8	снег-в-тени	2.213	57.3	-15.0	-17.0	22.7	маска	DJI_20260813183140_0012_Z.JPG	100	1591,1422,8,8	55	78,144,164	225.7
12	1	0.218	палка-ручка-контроль	1.4	3.6	лишайник-жёлтый-на-камне	1.189	61.2	7.0	25.0	26.0	маска	DJI_20260813183534_0014_Z_00m31s.jpg	196	427,1073,3,2	6	177,144,108	20.9
13	6	0.227	палка-древко-бирюзовое	1.4	4.0	снег-в-тени	2.103	56.5	-14.0	-17.0	22.0	маска	DJI_20260813183140_0012_Z.JPG	162	1583,1432,6,5	22	82,144,164	83.1
14	7	0.227	палка-древко-бирюзовое	1.4	4.0	снег-в-тени	2.103	56.5	-14.0	-17.0	22.0	маска	DJI_20260813183140_0012_Z.JPG	191	1575,1425,4,6	14	82,144,164	54.1
15	7	0.234	палка-древко-контроль	1.4	4.3	снег-в-тени	1.154	45.9	-7.0	-14.0	15.7	маска	DJI_20260813183028_0002_Z.JPG	42	1629,938,20,22	125	86,111,127	518.7
16	8	0.236	палка-древко-бирюзовое	1.4	4.4	снег-в-тени	2.317	56.9	-16.0	-17.0	23.3	маска	DJI_20260813183140_0012_Z.JPG	119	1601,1438,6,7	38	77,144,163	156.9
17	1	0.253	рюкзак-синий	2.0	1.2	снег-в-тени	0.842	37.6	-1.0	-14.0	14.0	маска	C0049_00m18s.png	78	1445,483,2,6	12	76,92,115	43.3
18	2	0.256	рюкзак-синий	2.0	1.6	снег-в-тени	0.805	40.4	-1.0	-14.0	14.0	маска	C0049_00m18s.png	99	1454,507,3,4	8	79,94,116	29.7
19	9	0.275	палка-древко-контроль	1.4	5.9	снег-в-тени	1.566	35.7	-9.0	-16.0	18.4	маска	DJI_20260813183140_0012_Z.JPG	60	2271,1171,23,9	104	45,87,107	415.9
20	1	0.280	стакан-марка-красная	2.0	3.5	снег-розовый	1.238	53.3	9.0	1.0	9.1	маска	DJI_20260813183101_0008_Z.JPG	44	697,1717,19,19	159	187,172,172	633.0
21	2	0.282	палка-ручка-контроль	0.0	7.9	лишайник-жёлтый-на-камне	1.231	65.5	6.0	26.0	26.7	маска	DJI_20260813183534_0014_Z_00m31s.jpg	1	46,797,23,36	537	179,151,115	2116.9
22	10	0.282	палка-древко-контроль	1.0	7.1	снег-в-тени	1.325	34.5	-7.0	-15.0	16.6	маска	DJI_20260813183140_0012_Z.JPG	9	2861,855,39,52	705	103,133,149	2942.5
23	2	0.283	рюкзак-синий	2.2	1.2	снег-в-тени	0.780	40.0	3.0	-13.0	13.3	маска	DJI_20260813183101_0008_Z.JPG	4	1842,1018,51,159	1638	138,142,148	6954.2
24	3	0.283	палка-ручка-контроль	2.2	1.2	лишайник-жёлтый-на-камне	1.273	58.8	8.0	25.0	26.2	маска	DJI_20260813183534_0014_Z_00m31s.jpg	35	129,1066,8,8	48	171,137,102	183.0
25	11	0.285	палка-древко-контроль	2.2	1.5	снег-в-тени	1.467	43.1	-10.0	-14.0	17.2	маска	DJI_20260813183140_0012_Z.JPG	113	2691,983,10,7	43	65,106,124	168.4
26	12	0.286	палка-древко-бирюзовое	2.0	3.9	снег-в-тени	2.349	48.6	-17.0	-16.0	23.3	маска	DJI_20260813183140_0012_Z.JPG	63	1475,1494,18,11	92	51,122,140	390.1
27	13	0.287	палка-древко-бирюзовое	1.4	6.3	снег-в-тени	2.117	58.8	-14.0	-17.0	22.0	маска	DJI_20260813183140_0012_Z.JPG	250	1581,1441,4,2	8	89,150,170	27.3
