track	t_best	t0	t1	bbox	score	lat	lon	alt
0	160.7	157.2	161.7	440,989,105,91	21030.5	39.4975190	73.6048994	4287.9
1	117.1	116.1	117.1	5,367,90,93	9939.6	39.4976286	73.6048575	4285.5
2	38.5	37.5	40.0	33,819,110,70	8475.4	39.5002669	73.6048510	4259.7
3	41.0	30.5	43.1	535,167,81,52	7685.9	39.5002676	73.6048512	4259.7
4	162.7	159.2	163.2	1735,315,66,58	7211.5	39.4975188	73.6048994	4287.5
5	152.2	148.7	153.2	0,867,59,108	6441.4	39.4975187	73.6048990	4288.6
6	115.1	114.6	115.1	0,0,65,65	6082.6	39.4977047	73.6048187	4285.4
7	33.0	19.5	36.5	332,129,117,47	5679.9	39.5004489	73.6048841	4259.7
8	11.0	0.0	36.5	713,407,55,42	4200.2	39.5021820	73.6051784	4258.6
9	42.1	36.0	43.6	311,605,64,32	4114.1	39.5002681	73.6048514	4259.9
10	40.0	39.0	40.0	19,811,46,44	3919.2	39.5002671	73.6048513	4259.7
11	165.7	161.7	167.2	677,861,74,98	3837.7	39.4975186	73.6048991	4286.9
12	63.1	63.1	63.1	813,246,54,49	3708.9	39.5002726	73.6048520	4260.7
13	40.0	37.5	42.6	771,361,46,36	3489.0	39.5002671	73.6048513	4259.7
14	54.1	53.1	55.6	1635,977,40,38	3393.3	39.5002714	73.6048514	4260.6
15	68.1	67.1	69.6	0,809,33,70	3364.7	39.5002604	73.6048459	4260.9
16	150.2	149.7	153.7	17,529,48,42	3345.2	39.4975185	73.6048991	4288.6
17	55.1	54.1	56.6	1617,977,32,33	3337.6	39.5002717	73.6048514	4260.7
18	81.1	79.6	83.1	225,849,40,41	3327.3	39.4996738	73.6047471	4276.7
19	151.2	150.7	151.2	81,1025,20,55	3277.3	39.4975187	73.6048990	4288.6
20	39.0	36.5	43.1	1153,63,48,38	3272.8	39.5002668	73.6048510	4259.7
21	165.2	161.7	167.2	696,827,56,80	3137.0	39.4975185	73.6048991	4286.9
22	36.5	36.5	36.5	1421,821,62,61	2924.1	39.5002739	73.6048518	4259.6
23	36.0	33.5	36.0	1319,768,49,41	2790.6	39.5002820	73.6048532	4259.6
24	84.6	81.1	84.6	388,1056,71,24	2787.5	39.4994065	73.6047033	4280.7
25	92.1	88.1	95.1	1348,943,31,86	2773.7	39.4990222	73.6046439	4285.4
26	70.1	69.6	77.1	941,165,44,44	2763.4	39.5002348	73.6048378	4260.9
27	61.1	59.6	61.1	9,212,88,29	2734.0	39.5002723	73.6048519	4260.7
28	63.6	63.6	63.6	1283,779,40,38	2688.4	39.5002726	73.6048520	4260.7
29	162.2	160.7	162.2	1891,175,29,34	2606.5	39.4975189	73.6048995	4287.6
30	44.6	44.6	46.6	1737,678,44,50	2601.2	39.5002695	73.6048515	4260.1
31	90.1	89.1	95.1	139,881,30,60	2593.4	39.4990346	73.6046454	4285.3
32	39.0	38.0	41.0	1361,1033,22,47	2592.3	39.5002668	73.6048510	4259.7
33	77.1	75.6	79.1	628,969,46,37	2553.7	39.4999675	73.6047950	4271.1
34	160.7	159.7	161.2	611,989,44,54	2534.4	39.4975190	73.6048994	4287.9
35	63.6	63.6	64.1	877,343,30,48	2525.9	39.5002726	73.6048520	4260.7
36	93.1	86.1	94.6	1354,965,36,60	2493.2	39.4990061	73.6046417	4285.4
37	156.2	152.7	156.7	723,963,44,43	2465.3	39.4975192	73.6048988	4288.4
38	166.7	163.2	167.2	716,865,61,34	2440.6	39.4975186	73.6048993	4286.8
39	69.6	64.1	69.6	1385,1057,78,23	2417.9	39.5002438	73.6048401	4260.9
40	157.2	154.7	163.2	399,525,34,28	2396.3	39.4975191	73.6048989	4288.4
