track	t_best	t0	t1	bbox	score	lat	lon	alt
0	5.0	3.0	5.0	1901,763,19,27	1353.5	39.4824656	73.5929772	5088.4
1	1.0	0.0	1.0	1785,895,24,22	1183.0	39.4824651	73.5929773	5088.4
2	54.1	53.1	59.1	971,841,38,22	1026.2	39.4879915	73.5936641	4924.7
3	0.0	0.0	0.0	1770,959,22,20	915.6	39.4824651	73.5929772	5088.4
4	9.0	4.0	16.0	1529,557,28,12	901.1	39.4824662	73.5929768	5088.4
5	53.1	49.0	53.1	922,831,23,17	699.7	39.4878439	73.5936217	4930.6
6	61.1	59.1	62.1	1492,940,21,21	697.1	39.4890433	73.5939998	4882.6
7	22.0	22.0	22.0	1849,183,71,12	683.8	39.4834505	73.5929967	5063.3
8	49.0	49.0	49.0	1894,666,15,17	670.9	39.4872411	73.5934497	4954.7
9	60.1	59.1	61.1	1385,924,28,23	631.5	39.4888971	73.5939514	4888.6
10	36.0	32.0	36.0	1885,907,10,32	625.4	39.4852715	73.5931459	5019.9
11	20.0	18.0	20.0	1860,263,37,20	559.2	39.4831960	73.5929879	5065.4
12	7.0	0.0	12.0	1818,1057,15,23	554.4	39.4824658	73.5929771	5088.4
13	60.1	59.1	60.1	1833,100,24,37	552.7	39.4888971	73.5939514	4888.6
14	1.0	0.0	2.0	1761,297,13,16	540.6	39.4824651	73.5929773	5088.4
15	48.0	48.0	48.0	1834,669,14,16	522.8	39.4870874	73.5934106	4960.8
16	1.0	0.0	5.0	1425,327,12,14	518.8	39.4824651	73.5929773	5088.4
17	23.0	22.0	25.0	1881,173,39,6	516.9	39.4835881	73.5929988	5059.8
18	5.0	3.0	5.0	1073,937,12,14	513.9	39.4824656	73.5929772	5088.4
19	19.0	18.0	20.0	1819,314,18,19	474.2	39.4830832	73.5929832	5065.6
20	45.0	45.0	45.0	1595,929,14,22	458.4	39.4866232	73.5933180	4979.0
21	6.0	2.0	7.0	1905,1061,8,19	444.6	39.4824657	73.5929772	5088.4
22	16.0	16.0	16.0	1899,701,14,20	443.6	39.4827768	73.5929776	5079.5
23	67.1	65.1	67.1	442,1065,23,15	386.3	39.4899328	73.5943040	4846.6
24	18.0	13.0	18.0	1873,399,16,21	385.9	39.4829806	73.5929803	5068.0
25	20.0	18.0	20.0	1849,207,24,12	328.0	39.4831960	73.5929879	5065.4
26	4.0	4.0	6.0	1410,723,7,21	326.5	39.4824654	73.5929773	5088.4
27	2.0	2.0	5.0	1811,0,12,17	326.4	39.4824652	73.5929774	5088.4
28	37.0	36.0	37.0	1798,1009,18,16	321.4	39.4854155	73.5931635	5019.9
29	4.0	2.0	4.0	1877,968,12,17	315.1	39.4824654	73.5929773	5088.4
30	10.0	9.0	14.0	1827,349,6,18	312.6	39.4824662	73.5929769	5088.4
31	19.0	10.0	19.0	1893,309,20,16	307.1	39.4830832	73.5929832	5065.6
32	61.1	60.1	61.1	1811,0,22,14	306.6	39.4890433	73.5939998	4882.6
33	62.1	62.1	62.1	1610,969,13,16	303.0	39.4891907	73.5940487	4876.5
34	18.0	12.0	18.0	1843,609,10,10	301.3	39.4829806	73.5929803	5068.0
35	19.0	18.0	19.0	1797,289,10,24	300.4	39.4830832	73.5929832	5065.6
36	12.0	6.0	12.0	1833,353,6,16	293.6	39.4824756	73.5929769	5088.4
37	3.0	0.0	5.0	1409,608,7,23	289.4	39.4824653	73.5929774	5088.4
38	63.1	63.1	63.1	1737,985,16,12	282.0	39.4893376	73.5940974	4870.5
39	60.1	58.1	60.1	1729,13,20,16	280.0	39.4888971	73.5939514	4888.6
40	16.0	14.0	16.0	1881,345,10,15	264.9	39.4827768	73.5929776	5079.5
41	4.0	4.0	4.0	1747,905,8,12	261.4	39.4824654	73.5929773	5088.4
42	24.0	24.0	25.0	1351,404,10,13	255.0	39.4837278	73.5930005	5054.4
43	7.0	4.0	7.0	1889,895,12,10	252.0	39.4824658	73.5929771	5088.4
44	12.0	8.0	12.0	1797,1041,10,16	240.1	39.4824756	73.5929769	5088.4
45	36.0	35.0	36.0	1342,1057,11,11	239.3	39.4852715	73.5931459	5019.9
46	6.0	6.0	8.0	1744,1032,10,17	235.0	39.4824657	73.5929772	5088.4
47	14.0	6.0	15.0	1849,327,16,10	229.3	39.4825841	73.5929777	5088.3
48	31.0	31.0	31.0	1913,561,7,10	226.4	39.4846160	73.5930636	5019.8
49	17.0	16.0	18.0	1785,590,6,15	224.3	39.4828873	73.5929784	5073.7
50	36.0	31.0	37.0	1628,991,7,14	218.9	39.4852715	73.5931459	5019.9
51	5.0	1.0	7.0	1625,807,10,17	217.7	39.4824656	73.5929772	5088.4
52	21.0	20.0	22.0	1725,157,28,8	215.7	39.4833195	73.5929927	5065.3
53	64.1	64.1	64.1	1872,1005,16,14	215.3	39.4894846	73.5941461	4864.6
54	35.0	32.0	35.0	1767,1041,10,16	214.5	39.4851291	73.5931282	5019.9
55	36.0	35.0	37.0	1627,849,11,12	213.3	39.4852715	73.5931459	5019.9
56	26.0	26.0	30.0	1809,221,8,8	211.3	39.4840217	73.5930052	5042.4
57	2.0	2.0	5.0	1889,292,8,14	204.5	39.4824652	73.5929774	5088.4
58	31.0	31.0	31.0	1891,744,6,9	203.1	39.4846160	73.5930636	5019.8
59	37.0	37.0	37.0	1748,969,12,12	195.7	39.4854155	73.5931635	5019.9
60	35.0	33.0	35.0	1805,977,6,8	193.8	39.4851291	73.5931282	5019.9
61	1.0	0.0	1.0	1859,420,6,11	193.7	39.4824651	73.5929773	5088.4
62	0.0	0.0	1.0	1787,248,6,9	192.3	39.4824651	73.5929772	5088.4
63	12.0	10.0	13.0	1737,368,8,9	188.6	39.4824756	73.5929769	5088.4
64	21.0	18.0	26.0	1180,278,13,8	187.0	39.4833195	73.5929927	5065.3
65	20.0	20.0	28.0	596,542,15,5	186.8	39.4831960	73.5929879	5065.4
