track	t_best	t0	t1	bbox	score	lat	lon	alt
0	139.0	139.0	139.0	145,0,52,388	10280.9			
1	137.0	137.0	141.0	155,0,50,425	8718.0			
2	134.0	130.0	135.0	0,0,31,228	6444.2			
3	108.0	108.0	108.0	103,0,39,307	5328.6			
4	130.0	130.0	130.0	39,0,26,211	4927.2			
5	109.0	108.0	109.0	0,571,65,186	4902.5			
6	114.0	114.0	114.0	29,465,52,123	4727.2			
7	63.0	63.0	63.0	0,1057,143,23	4478.6			
8	115.0	115.0	115.0	467,0,37,255	4157.6			
9	48.0	48.0	48.0	1746,697,49,108	3832.8			
10	138.0	138.0	138.0	355,0,18,191	3810.0			
11	129.0	129.0	129.0	0,0,21,137	3552.6			
12	115.0	115.0	115.0	420,401,31,224	3414.5			
13	109.0	109.0	109.0	109,613,40,124	3360.6			
14	108.0	108.0	108.0	199,637,33,116	3156.2			
15	133.0	133.0	133.0	0,137,13,96	3076.9			
16	115.0	115.0	115.0	407,631,16,224	2997.9			
17	12.0	12.0	12.0	1822,0,98,12	2505.3			
18	136.0	131.0	141.0	125,611,28,102	2452.6			
19	119.0	118.0	120.0	65,705,50,124	2155.1			
20	58.0	57.0	58.0	199,165,124,96	2115.4			
21	58.0	56.0	60.0	319,111,94,80	1963.4			
22	136.0	117.0	136.0	0,33,25,70	1859.2			
23	108.0	108.0	108.0	137,313,16,162	1840.5			
24	121.0	119.0	121.0	73,709,43,122	1811.5			
25	5.0	3.0	6.0	0,1008,73,21	1810.4			
26	33.0	33.0	33.0	0,419,107,40	1788.8			
27	118.0	118.0	118.0	105,771,33,82	1764.8			
28	128.0	124.0	129.0	0,235,20,126	1761.3			
29	119.0	117.0	125.0	501,0,58,27	1701.2			
30	117.0	117.0	118.0	539,0,46,33	1650.3			
31	46.0	46.0	46.0	535,1053,18,27	1630.8			
32	64.0	61.0	64.0	549,191,148,54	1620.5			
33	117.0	117.0	117.0	43,0,10,73	1608.2			
34	48.0	48.0	48.0	1854,837,49,82	1603.1			
35	140.0	140.0	140.0	89,1049,38,31	1595.3			
36	149.0	143.0	149.0	607,258,38,26	1573.7			
37	110.0	110.0	110.0	0,669,9,62	1497.2			
38	115.0	115.0	115.0	477,715,36,118	1459.3			
39	6.0	3.0	6.0	0,1008,73,23	1454.2			
40	27.0	27.0	27.0	543,233,38,18	1445.9			
41	137.0	137.0	141.0	297,969,31,80	1433.0			
42	117.0	117.0	118.0	103,775,34,82	1425.6			
43	138.0	138.0	138.0	373,391,8,62	1372.4			
44	65.0	63.0	65.0	787,271,124,48	1305.2			
45	57.0	56.0	57.0	1799,0,121,27	1232.7			
46	108.0	108.0	108.0	149,480,12,83	1203.8			
47	95.0	93.0	95.0	1279,29,64,26	1164.4			
48	52.0	48.0	52.0	1845,45,58,27	1153.2			
49	91.0	91.0	91.0	1795,865,46,14	1100.7			
50	48.0	47.0	55.0	985,109,32,30	1099.7			
51	120.0	119.0	121.0	0,695,29,34	1096.7			
52	107.0	106.0	107.0	969,0,70,53	1089.9			
53	2.0	2.0	3.0	1300,1035,24,26	1085.1			
54	117.0	117.0	117.0	1901,106,19,49	1078.2			
55	31.0	30.0	31.0	1327,641,18,40	1064.1			
56	122.0	121.0	122.0	1620,26,30,27	1054.4			
57	50.0	49.0	52.0	1641,243,64,39	1047.5			
58	67.0	67.0	67.0	0,1056,81,13	1032.1			
59	97.0	93.0	97.0	475,179,68,22	1022.6			
60	102.0	102.0	102.0	62,196,25,15	994.0			
61	32.0	31.0	32.0	1797,669,36,20	969.8			
62	133.0	132.0	134.0	9,245,10,58	967.4			
63	2.0	2.0	2.0	145,153,36,50	960.4			
64	117.0	117.0	122.0	381,81,36,26	959.9			
65	114.0	109.0	114.0	95,755,16,22	953.4			
66	50.0	49.0	51.0	197,43,48,36	950.4			
67	108.0	108.0	108.0	157,563,12,88	948.2			
68	131.0	127.0	131.0	27,759,11,56	942.0			
69	136.0	131.0	136.0	67,37,44,32	937.4			
70	7.0	7.0	7.0	53,107,28,26	884.6			
71	1.0	1.0	1.0	0,1068,32,12	872.0			
72	65.0	61.0	65.0	665,321,116,36	866.1			
73	91.0	91.0	91.0	1883,867,37,12	861.8			
74	54.0	52.0	55.0	1161,5,84,24	843.5			
75	71.0	71.0	71.0	849,508,21,33	841.5			
76	67.0	65.0	67.0	1651,83,20,26	826.3			
77	81.0	81.0	81.0	1893,605,21,34	823.9			
78	117.0	117.0	117.0	49,455,6,83	806.5			
79	89.0	89.0	95.0	231,0,43,56	802.0			
80	53.0	53.0	56.0	1077,83,66,22	794.1			
81	91.0	89.0	95.0	195,316,14,57	787.6			
82	51.0	50.0	51.0	1699,77,38,31	786.9			
83	44.0	44.0	56.0	889,13,94,36	775.6			
84	54.0	54.0	54.0	7,203,30,25	766.1			
85	50.0	48.0	50.0	1833,835,22,24	751.7			
86	132.0	132.0	133.0	133,855,48,39	744.6			
87	95.0	95.0	95.0	0,1043,13,37	738.7			
88	112.0	110.0	112.0	59,153,36,33	729.5			
89	134.0	134.0	134.0	1331,0,30,13	724.2			
90	117.0	117.0	117.0	49,390,6,42	718.3			
91	53.0	51.0	53.0	1589,11,38,20	717.7			
92	7.0	7.0	7.0	0,953,49,16	710.9			
93	146.0	143.0	146.0	1805,0,20,17	710.9			
94	133.0	133.0	133.0	181,1029,60,11	699.1			
95	38.0	38.0	38.0	653,1020,34,24	694.1			
96	91.0	91.0	91.0	0,925,37,10	689.8			
97	124.0	123.0	126.0	807,49,64,20	687.2			
98	111.0	110.0	111.0	107,129,36,32	679.7			
99	134.0	131.0	136.0	1327,63,42,16	679.4			
100	134.0	133.0	136.0	153,852,23,19	675.6			
101	136.0	136.0	136.0	57,253,28,20	674.4			
102	117.0	117.0	117.0	221,829,10,68	667.3			
103	141.0	140.0	146.0	1373,255,28,20	667.3			
104	133.0	132.0	134.0	111,749,14,48	660.8			
105	94.0	94.0	98.0	47,195,23,41	650.6			
106	5.0	2.0	6.0	1631,925,26,26	649.4			
107	98.0	98.0	98.0	717,213,26,22	646.3			
108	80.0	80.0	81.0	1899,684,21,21	643.8			
109	49.0	47.0	53.0	345,163,58,20	641.4			
110	21.0	21.0	21.0	1767,352,18,19	639.4			
111	89.0	89.0	91.0	185,133,32,43	628.4			
112	121.0	121.0	126.0	0,695,19,17	624.7			
113	109.0	109.0	113.0	1169,0,24,23	624.5			
114	94.0	92.0	94.0	279,519,12,52	618.8			
115	27.0	27.0	27.0	479,206,16,21	617.5			
116	52.0	51.0	52.0	825,128,56,13	617.5			
117	115.0	115.0	115.0	455,311,8,42	616.4			
118	59.0	59.0	60.0	0,357,71,33	615.8			
119	16.0	16.0	16.0	1893,1039,27,16	614.9			
120	96.0	96.0	98.0	793,111,36,38	614.0			
121	114.0	114.0	114.0	73,699,56,6	610.5			
122	94.0	94.0	94.0	17,445,24,30	608.9			
123	54.0	54.0	57.0	221,358,30,32	607.4			
124	112.0	112.0	112.0	53,833,22,22	607.3			
125	48.0	48.0	48.0	1905,781,15,24	596.5			
126	51.0	50.0	52.0	552,177,61,16	592.5			
127	121.0	119.0	122.0	557,0,36,17	585.6			
128	59.0	59.0	60.0	72,329,55,28	579.6			
129	22.0	22.0	22.0	763,421,20,18	578.4			
130	110.0	107.0	112.0	175,143,36,26	577.1			
131	6.0	6.0	6.0	1516,1037,16,23	569.0			
132	52.0	52.0	52.0	674,81,53,18	568.4			
133	54.0	54.0	54.0	1443,27,28,20	565.1			
134	50.0	46.0	50.0	533,297,48,14	563.7			
135	90.0	90.0	92.0	257,275,29,27	557.4			
136	122.0	118.0	124.0	541,75,30,24	553.3			
137	130.0	129.0	134.0	1397,29,34,6	553.1			
138	145.0	144.0	145.0	1369,594,24,28	550.2			
139	53.0	53.0	53.0	1209,123,40,18	539.9			
